year,GDP growth,Exports of goods and services,Population total 
1960,..,427347691.4,48013505
1961,6.058160825,519448521,49362834
1962,5.45303097,546086853.3,50752150
1963,-0.45589429,531067333.1,52202008
1964,10.95278855,540135770.2,53741721
1965,1.606258229,570741539.8,55385114
1966,2.566812001,662275557,57157651
1967,-1.87586392,675028035.7,59034250
1968,9.489454015,623451537.7,60918452
1969,1.220857909,690047514.3,62679765
1970,5.619852293,747575116.1,64232486
1971,-5.479483027,550621082.3,65531635
1972,-13.9737287,356841000,66625706
1973,3.325680199,528824097.2,67637541
1974,9.5919563,463095606.3,68742222
1975,-4.088214092,563045020.3,70066310
1976,5.661361201,480166471.4,71652386
1977,2.67305605,679513484.2,73463593
1978,7.073837733,738155879.6,75450033
1979,4.801634601,950929356.1,77529040
1980,0.819141869,996555891.5,79639498
1981,7.233943695,1038984088,81767516
1982,2.134327836,940219560.9,83932132
1983,3.8810464,986784511.8,86142490
1984,4.803310015,642600000,88416529
1985,3.342014654,1199576923,90764180
1986,4.173382559,1128533333,93187593
1987,3.772401853,1212483871,95671159
1988,2.416256856,1442788426,98186350
1989,2.836582129,1594548362,100695496
1990,5.622258162,1866930005,103171957
1991,3.485227815,2062577031,105599125
1992,5.442685551,2405649867,107983708
1993,4.711561724,2990714286,110350641
1994,3.890126441,3039700748,112737684
1995,5.121277897,4122014925,115169933
1996,4.522919218,4507555012,117649927
1997,4.489896497,5075480094,120160571
1998,5.177026873,5876850220,122682818
1999,4.670156368,6028722962,125189655
2000,5.293294718,6588073942,127657862
2001,5.077287776,7227575982,130088709
2002,3.83312394,6791241511,132478077
2003,4.739567399,6876856649,134791598
2004,5.23953291,7257329710,136986429
2005,6.535944941,9994813008,139035505
2006,6.671904981,11744907683,140921154
2007,7.058599357,13530306979,142660381
2008,6.013789759,16181037750,144304164
2009,5.045124794,17359874074,145924795
2010,5.571788188,18472449276,147575433
2011,6.464379123,25627346571,149273134
2012,6.521458781,26886637936,151005733
2013,6.013605658,29304945498,152761413
2014,6.061059359,32830360072,154517385
2015,6.552639879,33820154153,156256287
2016,7.113478213,36864997681,157977151
2017,7.284174423,37546803060,159685421
2018,7.86374303,40560393850,161376713
2019,8.152684947,46362538289,163046173
2020,2.375521656,39495948089,164689383
