DATE,Home Price Index,Average Weekly Earning,Trade Balance
2002-01-31,116.436,497.41,-29678.0
2002-02-28,116.917,499.56,-32501.0
2002-03-31,117.93,502.4,-31161.0
2002-04-30,119.209,503.08,-33965.0
2002-05-31,120.788,504.43,-34026.0
2002-06-30,122.332,506.47,-34732.0
2002-07-31,123.685,506.32,-33913.0
2002-08-31,124.728,509.18,-36385.0
2002-09-30,125.492,510.53,-36088.0
2002-10-31,126.135,511.06,-35095.0
2002-11-30,126.641,512.07,-39515.0
2002-12-31,127.15,513.76,-43607.0
2003-01-31,127.651,512.91,-41156.0
2003-02-28,128.326,513.74,-40082.0
2003-03-31,129.308,516.13,-43806.0
2003-04-30,130.489,513.41,-42037.0
2003-05-31,131.839,516.62,-41045.0
2003-06-30,133.225,516.1,-39696.0
2003-07-31,134.64600000000002,517.44,-41321.0
2003-08-31,135.964,519.65,-39892.0
2003-09-30,137.075,517.78,-41842.0
2003-10-31,137.975,519.99,-41388.0
2003-11-30,138.765,522.89,-39898.0
2003-12-31,139.628,519.79,-44080.0
2004-01-31,140.70600000000002,522.69,-44645.0
2004-02-29,142.03,524.91,-44552.0
2004-03-31,144.08100000000002,524.37,-46754.0
2004-04-30,146.179,525.38,-47283.0
2004-05-31,148.333,528.29,-47553.0
2004-06-30,150.517,526.51,-54169.0
2004-07-31,152.336,528.75,-51606.0
2004-08-31,153.813,530.1,-53647.0
2004-09-30,155.107,531.79,-51686.0
2004-10-31,156.299,534.38,-55058.0
2004-11-30,157.497,533.81,-58967.0
2004-12-31,158.671,536.07,-54918.0
2005-01-31,160.131,535.83,-56189.0
2005-02-28,161.925,538.43,-58094.0
2005-03-31,164.577,538.19,-53134.0
2005-04-30,167.0,540.8,-57312.0
2005-05-31,169.545,540.55,-56040.0
2005-06-30,172.015,541.9,-58152.0
2005-07-31,174.097,544.26,-58301.0
2005-08-31,175.922,544.93,-58745.0
2005-09-30,177.61,547.22,-64882.0
2005-10-31,178.752,550.26,-67265.0
